sample: 0, episode: 9, total reward: 7.372
sample: 1, episode: 9, total reward: 15.349
sample: 2, episode: 9, total reward: 20.2
sample: 3, episode: 9, total reward: 15.794
sample: 4, episode: 9, total reward: 18.605
sample: 5, episode: 9, total reward: 10.215
sample: 6, episode: 9, total reward: 14.135
sample: 7, episode: 9, total reward: 11.681
sample: 8, episode: 9, total reward: 10.133
sample: 9, episode: 9, total reward: 6.3
sample: 10, episode: 9, total reward: 18.156
sample: 11, episode: 9, total reward: 11.205
sample: 12, episode: 9, total reward: 20.911
sample: 13, episode: 9, total reward: 12.147
sample: 14, episode: 9, total reward: 18.586
sample: 15, episode: 9, total reward: 10.48
sample: 16, episode: 9, total reward: 26.94
sample: 17, episode: 9, total reward: 11.377
sample: 18, episode: 9, total reward: 7.879
sample: 19, episode: 9, total reward: 19.157
sample: 20, episode: 9, total reward: 20.841
sample: 21, episode: 9, total reward: 15.531
sample: 22, episode: 9, total reward: 12.885
sample: 23, episode: 9, total reward: 12.071
sample: 24, episode: 9, total reward: 33.133
sample: 25, episode: 9, total reward: 20.176
sample: 26, episode: 9, total reward: 9.033
sample: 27, episode: 9, total reward: 7.433
sample: 28, episode: 9, total reward: 14.303
sample: 29, episode: 9, total reward: 24.0
sample: 30, episode: 9, total reward: 10.759
sample: 31, episode: 9, total reward: 12.154
sample: 32, episode: 9, total reward: 12.638
sample: 33, episode: 9, total reward: 22.707
sample: 34, episode: 9, total reward: 14.116
sample: 35, episode: 9, total reward: 24.547
sample: 36, episode: 9, total reward: 26.889
sample: 37, episode: 9, total reward: 3.509
sample: 38, episode: 9, total reward: 16.666
sample: 39, episode: 9, total reward: 23.4
sample: 40, episode: 9, total reward: 27.953
sample: 41, episode: 9, total reward: 40.449
sample: 42, episode: 9, total reward: 5.296
sample: 43, episode: 9, total reward: 19.524
sample: 44, episode: 9, total reward: 25.042
sample: 45, episode: 9, total reward: 14.208
sample: 46, episode: 9, total reward: 11.279
sample: 47, episode: 9, total reward: 12.927
sample: 48, episode: 9, total reward: 17.557
sample: 49, episode: 9, total reward: 11.803
sample: 50, episode: 9, total reward: 23.549
sample: 51, episode: 9, total reward: 10.589
sample: 52, episode: 9, total reward: 9.161
sample: 53, episode: 9, total reward: 26.651
sample: 54, episode: 9, total reward: 4.246
sample: 55, episode: 9, total reward: 29.81
sample: 56, episode: 9, total reward: 12.089
sample: 57, episode: 9, total reward: 10.717
sample: 58, episode: 9, total reward: 8.098
sample: 59, episode: 9, total reward: 6.851
sample: 60, episode: 9, total reward: 28.177
sample: 61, episode: 9, total reward: 11.505
sample: 62, episode: 9, total reward: 7.957
sample: 63, episode: 9, total reward: 16.385
sample: 64, episode: 9, total reward: 6.687
sample: 65, episode: 9, total reward: 9.892
sample: 66, episode: 9, total reward: 14.855
sample: 67, episode: 9, total reward: 5.38
sample: 68, episode: 9, total reward: 16.5
sample: 69, episode: 9, total reward: 10.97
sample: 70, episode: 9, total reward: 13.273
sample: 71, episode: 9, total reward: 6.488
sample: 72, episode: 9, total reward: 10.388
sample: 73, episode: 9, total reward: 16.964
sample: 74, episode: 9, total reward: 12.883
sample: 75, episode: 9, total reward: 11.181
sample: 76, episode: 9, total reward: 10.66
sample: 77, episode: 9, total reward: 12.892
sample: 78, episode: 9, total reward: 11.868
sample: 79, episode: 9, total reward: 9.759
sample: 80, episode: 9, total reward: 20.429
sample: 81, episode: 9, total reward: 7.404
sample: 82, episode: 9, total reward: 10.329
sample: 83, episode: 9, total reward: 8.086
sample: 84, episode: 9, total reward: 13.548
sample: 85, episode: 9, total reward: 14.912
sample: 86, episode: 9, total reward: 10.177
sample: 87, episode: 9, total reward: 22.261
sample: 88, episode: 9, total reward: 18.107
sample: 89, episode: 9, total reward: 10.282
sample: 90, episode: 9, total reward: 21.727
sample: 91, episode: 9, total reward: 4.798
sample: 92, episode: 9, total reward: 8.018
sample: 93, episode: 9, total reward: 17.11
sample: 94, episode: 9, total reward: 16.385
sample: 95, episode: 9, total reward: 10.745
sample: 96, episode: 9, total reward: 10.818
sample: 97, episode: 9, total reward: 13.635
sample: 98, episode: 9, total reward: 7.522
sample: 99, episode: 9, total reward: 12.322
sample: 100, episode: 9, total reward: 4.151
sample: 101, episode: 9, total reward: 7.675
sample: 102, episode: 9, total reward: 11.98
sample: 103, episode: 9, total reward: 17.707
sample: 104, episode: 9, total reward: 7.037
sample: 105, episode: 9, total reward: 8.685
sample: 106, episode: 9, total reward: 10.795
sample: 107, episode: 9, total reward: 13.193
sample: 108, episode: 9, total reward: 15.888
sample: 109, episode: 9, total reward: 9.432
sample: 110, episode: 9, total reward: 18.625
sample: 111, episode: 9, total reward: 10.48
sample: 112, episode: 9, total reward: 3.839
sample: 113, episode: 9, total reward: 7.883
sample: 114, episode: 9, total reward: 5.544
sample: 115, episode: 9, total reward: 15.272
sample: 116, episode: 9, total reward: 17.159
sample: 117, episode: 9, total reward: 17.234
sample: 118, episode: 9, total reward: 10.263
sample: 119, episode: 9, total reward: 13.398
sample: 120, episode: 9, total reward: 14.251
sample: 121, episode: 9, total reward: 11.523
sample: 122, episode: 9, total reward: 5.119
sample: 123, episode: 9, total reward: 5.965
sample: 124, episode: 9, total reward: 7.938
sample: 125, episode: 9, total reward: 8.027
sample: 126, episode: 9, total reward: 12.925
sample: 127, episode: 9, total reward: 14.66
sample: 128, episode: 9, total reward: 8.755
sample: 129, episode: 9, total reward: 11.89
sample: 130, episode: 9, total reward: 11.185
sample: 131, episode: 9, total reward: 8.307
sample: 132, episode: 9, total reward: 8.112
sample: 133, episode: 9, total reward: 19.16
sample: 134, episode: 9, total reward: 9.509
sample: 135, episode: 9, total reward: 16.999
sample: 136, episode: 9, total reward: 15.204
sample: 137, episode: 9, total reward: 9.436
sample: 138, episode: 9, total reward: 16.242
sample: 139, episode: 9, total reward: 15.55
sample: 140, episode: 9, total reward: 15.485
sample: 141, episode: 9, total reward: 16.666
sample: 142, episode: 9, total reward: 15.216
sample: 143, episode: 9, total reward: 15.534
sample: 144, episode: 9, total reward: 18.011
sample: 145, episode: 9, total reward: 13.776
sample: 146, episode: 9, total reward: 7.611
sample: 147, episode: 9, total reward: 13.773
sample: 148, episode: 9, total reward: 9.206
sample: 149, episode: 9, total reward: 13.571
sample: 150, episode: 9, total reward: 37.794
sample: 151, episode: 9, total reward: 24.029
sample: 152, episode: 9, total reward: 12.688
sample: 153, episode: 9, total reward: 14.25
sample: 154, episode: 9, total reward: 14.112
sample: 155, episode: 9, total reward: 8.784
sample: 156, episode: 9, total reward: 5.785
sample: 157, episode: 9, total reward: 18.684
sample: 158, episode: 9, total reward: 13.233
sample: 159, episode: 9, total reward: 10.854
sample: 160, episode: 9, total reward: 19.401
sample: 161, episode: 9, total reward: 13.039
sample: 162, episode: 9, total reward: 14.016
sample: 163, episode: 9, total reward: 9.477
sample: 164, episode: 9, total reward: 8.5
sample: 165, episode: 9, total reward: 11.992
sample: 166, episode: 9, total reward: 14.807
sample: 167, episode: 9, total reward: 8.843
sample: 168, episode: 9, total reward: 14.699
sample: 169, episode: 9, total reward: 12.397
sample: 170, episode: 9, total reward: 7.43
sample: 171, episode: 9, total reward: 11.369
sample: 172, episode: 9, total reward: 12.29
sample: 173, episode: 9, total reward: 13.3
sample: 174, episode: 9, total reward: 8.65
sample: 175, episode: 9, total reward: 11.896
sample: 176, episode: 9, total reward: 6.748
sample: 177, episode: 9, total reward: 12.269
sample: 178, episode: 9, total reward: 19.04
sample: 179, episode: 9, total reward: 8.017
sample: 180, episode: 9, total reward: 14.304
sample: 181, episode: 9, total reward: 3.117
sample: 182, episode: 9, total reward: 12.774
sample: 183, episode: 9, total reward: 11.48
sample: 184, episode: 9, total reward: 10.195
sample: 185, episode: 9, total reward: 7.206
sample: 186, episode: 9, total reward: 4.369
sample: 187, episode: 9, total reward: 12.765
sample: 188, episode: 9, total reward: 14.6
sample: 189, episode: 9, total reward: 14.497
sample: 190, episode: 9, total reward: 7.76
sample: 191, episode: 9, total reward: 13.192
sample: 192, episode: 9, total reward: 20.134
sample: 193, episode: 9, total reward: 8.475
sample: 194, episode: 9, total reward: 9.47
sample: 195, episode: 9, total reward: 10.916
sample: 196, episode: 9, total reward: 13.883
sample: 197, episode: 9, total reward: 8.517
sample: 198, episode: 9, total reward: 9.805
sample: 199, episode: 9, total reward: 10.936
sample: 200, episode: 9, total reward: 9.107
sample: 201, episode: 9, total reward: 11.322
sample: 202, episode: 9, total reward: 17.28
sample: 203, episode: 9, total reward: 6.198
sample: 204, episode: 9, total reward: 14.845
sample: 205, episode: 9, total reward: 17.548
sample: 206, episode: 9, total reward: 12.429
sample: 207, episode: 9, total reward: 8.957
sample: 208, episode: 9, total reward: 12.827
sample: 209, episode: 9, total reward: 13.968
sample: 210, episode: 9, total reward: 3.699
sample: 211, episode: 9, total reward: 7.202
sample: 212, episode: 9, total reward: 9.825
sample: 213, episode: 9, total reward: 8.083
sample: 214, episode: 9, total reward: 7.697
sample: 215, episode: 9, total reward: 9.61
sample: 216, episode: 9, total reward: 8.949
sample: 217, episode: 9, total reward: 9.071
sample: 218, episode: 9, total reward: 10.85
sample: 219, episode: 9, total reward: 7.979
sample: 220, episode: 9, total reward: 10.522
sample: 221, episode: 9, total reward: 10.381
sample: 222, episode: 9, total reward: 8.275
sample: 223, episode: 9, total reward: 11.087
sample: 224, episode: 9, total reward: 8.664
sample: 225, episode: 9, total reward: 13.391
sample: 226, episode: 9, total reward: 12.159
sample: 227, episode: 9, total reward: 16.118
sample: 228, episode: 9, total reward: 16.533
sample: 229, episode: 9, total reward: 7.309
