sample: 0, episode: 9, total reward: -140.373
sample: 1, episode: 9, total reward: -95.858
sample: 2, episode: 9, total reward: -86.763
sample: 3, episode: 9, total reward: -106.081
sample: 4, episode: 9, total reward: -103.144
sample: 5, episode: 9, total reward: -91.862
sample: 6, episode: 9, total reward: -89.078
sample: 7, episode: 9, total reward: -130.954
sample: 8, episode: 9, total reward: -93.001
sample: 9, episode: 9, total reward: -63.595
sample: 10, episode: 9, total reward: -61.648
sample: 11, episode: 9, total reward: -105.75
sample: 12, episode: 9, total reward: -63.684
sample: 13, episode: 9, total reward: -88.538
sample: 14, episode: 9, total reward: -67.113
sample: 15, episode: 9, total reward: -73.489
sample: 16, episode: 9, total reward: -55.092
sample: 17, episode: 9, total reward: -85.869
sample: 18, episode: 9, total reward: -73.919
sample: 19, episode: 9, total reward: -56.276
